CCC_CODE,OSD_SLAB,BASE_CLASS,COUNT,OSD
3113102,osd_10K ,A,63,1430715.01
3113102,osd_10K ,C,23,364308.69
3113102,osd_10K ,D,173,3314995.31
3113102,osd_10K ,I,2,24589.84
3113102,osd_50K ,A,3,220728.8
3113102,osd_50K ,C,3,162454.9
3113102,osd_50K ,D,9,639613.98
3113102,osd_50K ,H,6,424091.07
3113102,osd_5K  ,A,25,192541.06
3113102,osd_5K  ,C,25,171859.22
3113102,osd_5K  ,D,468,3135185.52
3113102,osd_5K  ,I,4,29464.07
3113102,osd_lakh,A,2,266232.56
3113102,osd_lakh,C,1,7034273.99
3113102,osd_lakh,D,3,359624.55
3113102,osd_lakh,H,2,345091.9
3113102,osd_lakh,I,1,113116.15
3113102,,A,526,534968.8
3113102,,C,5563,10054985.52
3113102,,D,34309,38927475.6
3113102,,I,227,1048553.07
3113102,,S,2,7894.03
3113102,,W,10,80188.2
3113302,osd_10K ,C,302,5201566.02
3113302,osd_10K ,D,1413,23178465.36
3113302,osd_10K ,I,2,32596.85
3113302,osd_50K ,C,9,552431.53
3113302,osd_50K ,D,12,756822.99
3113302,osd_5K  ,C,350,2506385.71
3113302,osd_5K  ,D,2210,15614704.8
3113302,osd_5K  ,I,8,56931.84
3113302,osd_lakh,C,4,895868.84
3113302,osd_lakh,D,2,254871.78
3113302,,A,793,15450.12
3113302,,C,8415,20633272.78
3113302,,D,63483,56332054.29
3113302,,I,257,274772.71
3113302,,W,10,38537.3
3113400,osd_10K ,C,61,1042617.17
3113400,osd_10K ,D,271,4841446.9
3113400,osd_10K ,I,11,230633.5
3113400,osd_50K ,C,2,126356.62
3113400,osd_50K ,D,14,888990.09
3113400,osd_5K  ,C,112,725119.31
3113400,osd_5K  ,D,503,3431794.76
3113400,osd_5K  ,I,3,17211.46
3113400,osd_lakh,C,2,396809.95
3113400,osd_lakh,D,6,1824975.37
3113400,,A,583,988239.61
3113400,,C,7685,29600627.61
3113400,,D,39691,21225163.92
3113400,,H,84,789131
3113400,,I,271,911004.85
3113400,,S,8,73781.16
3113400,,W,16,124489.98
3113401,osd_10K ,C,77,1446960.57
3113401,osd_10K ,D,549,8658118.04
3113401,osd_10K ,H,1,12353.81
