CCC_CODE,BASE_CLASS,CONN_PHASE,MET_STATUS,DIS_STAT,CON_TYPE,TYPE,COUNT,UNIT
3113102,C,1,DEF    ,Live,C  ,11_count   ,2,6
3113102,C,1,HEALTHY,Live,C  ,2.0_norm   ,44,0
3113102,C,1,HEALTHY,TD  ,C  ,2.0_norm   ,2,0
3113102,C,1,HEALTHY,Live,OTH,2.0_norm   ,3,0
3113102,C,1,DEF    ,Live,C  ,25_count   ,5,74
3113102,C,1,HEALTHY,Live,C  ,3.0_adv    ,35,0
3113102,C,1,HEALTHY,Live,C  ,4.0_temp   ,1,0
3113102,C,1,HEALTHY,TD  ,C  ,4.0_temp   ,15,0
3113102,C,1,HEALTHY,Live,C  ,5.11_count ,31,171
3113102,C,1,DEF    ,Live,C  ,50_count   ,13,516
3113102,C,1,HEALTHY,Live,C  ,7.25_count ,70,1292
3113102,C,1,DEF    ,Live,C  ,DEF_OTH    ,20,8622
3113102,C,1,HEALTHY,Live,C  ,HEALTHY_OTH,427,107978
3113102,C,1,HEALTHY,TD  ,C  ,HEALTHY_OTH,3,266
3113102,C,3,HEALTHY,Live,C  ,3.0_adv    ,1,0
3113102,C,3,HEALTHY,Live,C  ,5.100_count,2,139
3113102,C,3,HEALTHY,Live,C  ,7.500_count,5,1774
3113102,C,3,HEALTHY,Live,OTH,7.500_count,1,407.11
3113102,C,3,HEALTHY,Live,C  ,HEALTHY_OTH,24,176836
3113102,C,3,HEALTHY,Live,OTH,HEALTHY_OTH,4,24688
3113102,C,3,DEF    ,Live,C  ,,1,11404
3113102,D,1,DEF    ,Live,D  ,11_count   ,22,98
3113102,D,1,HEALTHY,Live,D  ,11_count   ,1,0
3113102,D,1,HEALTHY,Live,D  ,2.0_norm   ,216,0
3113102,D,1,HEALTHY,PD  ,D  ,2.0_norm   ,11,0
3113102,D,1,HEALTHY,TD  ,D  ,2.0_norm   ,38,0
3113102,D,1,DEF    ,Live,D  ,25_count   ,37,692
3113102,D,1,DEF    ,PD  ,D  ,25_count   ,1,13
3113102,D,1,HEALTHY,Live,D  ,3.0_adv    ,145,0
3113102,D,1,HEALTHY,Live,D  ,4.0_temp   ,1,0
3113102,D,1,HEALTHY,TD  ,D  ,4.0_temp   ,43,0
3113102,D,1,HEALTHY,Live,D  ,5.11_count ,98,530
3113102,D,1,HEALTHY,PD  ,D  ,5.11_count ,1,1
3113102,D,1,HEALTHY,TD  ,D  ,5.11_count ,5,22
3113102,D,1,DEF    ,Live,D  ,50_count   ,113,4267
3113102,D,1,HEALTHY,Live,D  ,7.25_count ,185,3476
3113102,D,1,HEALTHY,TD  ,D  ,7.25_count ,3,45
3113102,D,1,DEF    ,Live,D  ,DEF_OTH    ,523,95420
3113102,D,1,HEALTHY,Live,D  ,HEALTHY_OTH,7523,1445972
3113102,D,1,HEALTHY,PD  ,D  ,HEALTHY_OTH,5,867
3113102,D,1,HEALTHY,TD  ,D  ,HEALTHY_OTH,21,1630
3113102,D,1,HEALTHY,Live,D  ,,4,1176
3113102,D,1,HEALTHY,PD  ,D  ,,2,807
3113102,D,3,HEALTHY,Live,D  ,,5,1849
3113102,I,3,HEALTHY,Live,I  ,2.0_norm   ,4,0
3113102,I,3,HEALTHY,Live,I  ,3.0_adv    ,2,0
3113102,I,3,HEALTHY,DD  ,I  ,4.0_temp   ,1,0
3113102,I,3,HEALTHY,TD  ,I  ,4.0_temp   ,2,0
3113102,I,3,HEALTHY,Live,I  ,5.100_count,31,1431
3113102,I,3,HEALTHY,Live,I  ,7.500_count,71,16420
3113102,I,3,HEALTHY,Live,I  ,HEALTHY_OTH,41,71660
3113302,C,1,DEF    ,Live,C  ,11_count   ,20,132
3113302,C,1,DEF    ,PD  ,C  ,11_count   ,1,9
3113302,C,1,HEALTHY,DD  ,C  ,2.0_norm   ,25,0
3113302,C,1,HEALTHY,Live,C  ,2.0_norm   ,275,0
3113302,C,1,HEALTHY,PD  ,C  ,2.0_norm   ,1,0
3113302,C,1,HEALTHY,TD  ,C  ,2.0_norm   ,17,0
3113302,C,1,DEF    ,Live,C  ,25_count   ,26,449
3113302,C,1,DEF    ,PD  ,C  ,25_count   ,1,20
3113302,C,1,HEALTHY,Live,C  ,3.0_adv    ,14,0
3113302,C,1,HEALTHY,DD  ,C  ,4.0_temp   ,18,0
3113302,C,1,HEALTHY,TD  ,C  ,4.0_temp   ,1,0
3113302,C,1,HEALTHY,Live,C  ,5.11_count ,134,784
3113302,C,1,HEALTHY,PD  ,C  ,5.11_count ,2,7
3113302,C,1,HEALTHY,TD  ,C  ,5.11_count ,2,16
3113302,C,1,DEF    ,Live,C  ,50_count   ,40,1563
3113302,C,1,HEALTHY,Live,C  ,7.25_count ,195,3510
3113302,C,1,HEALTHY,TD  ,C  ,7.25_count ,1,13
3113302,C,1,DEF    ,Live,C  ,DEF_OTH    ,95,13496
3113302,C,1,DEF    ,PD  ,C  ,DEF_OTH    ,1,141
3113302,C,1,DEF    ,TD  ,C  ,DEF_OTH    ,1,213
3113302,C,1,HEALTHY,Live,C  ,HEALTHY_OTH,1606,280843
3113302,C,1,HEALTHY,PD  ,C  ,HEALTHY_OTH,1,231
3113302,C,1,HEALTHY,TD  ,C  ,HEALTHY_OTH,3,362
3113302,C,1,HEALTHY,Live,OTH,HEALTHY_OTH,1,406
3113302,C,1,HEALTHY,Live,C  ,,1,0
3113302,C,3,HEALTHY,TD  ,C  ,4.0_temp   ,1,0
3113302,D,1,DEF    ,Live,D  ,11_count   ,217,1070
3113302,D,1,DEF    ,TD  ,D  ,11_count   ,1,2
3113302,D,1,HEALTHY,DD  ,D  ,2.0_norm   ,99,0
3113302,D,1,HEALTHY,Live,D  ,2.0_norm   ,1585,0
3113302,D,1,HEALTHY,TD  ,D  ,2.0_norm   ,111,0
3113302,D,1,DEF    ,Live,D  ,25_count   ,313,5660
3113302,D,1,HEALTHY,Live,D  ,3.0_adv    ,39,0
3113302,D,1,HEALTHY,DD  ,D  ,4.0_temp   ,53,0
3113302,D,1,HEALTHY,TD  ,D  ,4.0_temp   ,10,0
3113302,D,1,HEALTHY,Live,D  ,5.11_count ,533,2991
3113302,D,1,HEALTHY,TD  ,D  ,5.11_count ,6,25
3113302,D,1,DEF    ,Live,D  ,50_count   ,502,19094
3113302,D,1,DEF    ,PD  ,D  ,50_count   ,2,80
3113302,D,1,HEALTHY,Live,D  ,7.25_count ,1011,18514
3113302,D,1,HEALTHY,TD  ,D  ,7.25_count ,1,21
3113302,D,1,DEF    ,Live,D  ,DEF_OTH    ,1137,145120
3113302,D,1,DEF    ,PD  ,D  ,DEF_OTH    ,1,68
3113302,D,1,DEF    ,TD  ,D  ,DEF_OTH    ,5,973
3113302,D,1,HEALTHY,Live,D  ,HEALTHY_OTH,16074,2000397
3113302,D,1,HEALTHY,PD  ,D  ,HEALTHY_OTH,2,378
3113302,D,1,HEALTHY,TD  ,D  ,HEALTHY_OTH,24,3287
3113302,D,1,DEF    ,Live,D  ,,1,124
3113302,D,1,HEALTHY,Live,D  ,,6,127
3113302,D,3,HEALTHY,Live,D  ,,3,492
3113302,I,1,HEALTHY,Live,I  ,,1,11
3113302,I,3,HEALTHY,Live,I  ,2.0_norm   ,1,0
3113302,I,3,DEF    ,Live,I  ,250_count  ,1,154
3113302,I,3,HEALTHY,Live,I  ,3.0_adv    ,7,0
3113302,I,3,HEALTHY,DD  ,I  ,4.0_temp   ,1,0
3113302,I,3,HEALTHY,TD  ,I  ,4.0_temp   ,1,0
3113302,I,3,HEALTHY,Live,I  ,5.100_count,62,3503
3113302,I,3,HEALTHY,Live,I  ,7.500_count,86,20814
3113302,I,3,HEALTHY,Live,I  ,HEALTHY_OTH,45,57388
3113400,C,1,HEALTHY,DD  ,C  ,2.0_norm   ,1,0
3113400,C,1,HEALTHY,Live,C  ,2.0_norm   ,48,0
3113400,C,1,HEALTHY,PD  ,C  ,2.0_norm   ,1,0
3113400,C,1,HEALTHY,TD  ,C  ,2.0_norm   ,1,0
3113400,C,1,DEF    ,Live,C  ,25_count   ,2,39
3113400,C,1,HEALTHY,Live,C  ,3.0_adv    ,61,0
3113400,C,1,HEALTHY,PD  ,C  ,3.0_adv    ,1,0
3113400,C,1,HEALTHY,Live,OTH,3.0_adv    ,1,0
3113400,C,1,HEALTHY,DD  ,C  ,4.0_temp   ,2,0
3113400,C,1,HEALTHY,TD  ,C  ,4.0_temp   ,7,0
3113400,C,1,HEALTHY,Live,C  ,5.11_count ,90,469
3113400,C,1,HEALTHY,PD  ,C  ,5.11_count ,1,7
3113400,C,1,HEALTHY,TD  ,C  ,5.11_count ,1,5
3113400,C,1,DEF    ,Live,C  ,50_count   ,9,342
3113400,C,1,HEALTHY,Live,C  ,7.25_count ,108,1925
3113400,C,1,DEF    ,Live,C  ,DEF_OTH    ,31,8614
3113400,C,1,HEALTHY,Live,C  ,HEALTHY_OTH,895,298255.4
3113400,C,1,HEALTHY,TD  ,C  ,HEALTHY_OTH,2,80
3113400,C,1,HEALTHY,Live,OTH,HEALTHY_OTH,3,3889
3113400,C,1,DEF    ,Live,C  ,,1,378
3113400,C,1,HEALTHY,Live,C  ,,2,855
3113400,C,3,HEALTHY,Live,C  ,2.0_norm   ,3,0
3113400,C,3,HEALTHY,DD  ,C  ,4.0_temp   ,1,0
3113400,C,3,HEALTHY,TD  ,C  ,4.0_temp   ,1,0
3113400,C,3,HEALTHY,Live,C  ,5.100_count,6,240.6
3113400,C,3,HEALTHY,Live,C  ,7.500_count,10,1805
3113400,C,3,HEALTHY,Live,C  ,HEALTHY_OTH,62,318500
3113400,C,3,HEALTHY,TD  ,C  ,HEALTHY_OTH,2,96279
3113400,C,3,HEALTHY,Live,OTH,HEALTHY_OTH,3,11363
3113400,D,1,DEF    ,Live,D  ,11_count   ,12,47
3113400,D,1,HEALTHY,Live,D  ,2.0_norm   ,231,0
3113400,D,1,HEALTHY,PD  ,D  ,2.0_norm   ,2,0
3113400,D,1,HEALTHY,TD  ,D  ,2.0_norm   ,6,0
3113400,D,1,DEF    ,Live,D  ,25_count   ,16,274
3113400,D,1,HEALTHY,Live,D  ,3.0_adv    ,269,0
3113400,D,1,HEALTHY,TD  ,D  ,3.0_adv    ,1,0
3113400,D,1,HEALTHY,DD  ,D  ,4.0_temp   ,2,0
3113400,D,1,HEALTHY,Live,D  ,4.0_temp   ,3,0
3113400,D,1,HEALTHY,TD  ,D  ,4.0_temp   ,30,0
3113400,D,1,HEALTHY,Live,D  ,5.11_count ,254,1304
3113400,D,1,HEALTHY,TD  ,D  ,5.11_count ,4,18
3113400,D,1,DEF    ,Live,D  ,50_count   ,25,928
3113400,D,1,HEALTHY,Live,D  ,7.25_count ,318,5732
3113400,D,1,HEALTHY,PD  ,D  ,7.25_count ,2,39
3113400,D,1,HEALTHY,TD  ,D  ,7.25_count ,8,141
3113400,D,1,DEF    ,Live,D  ,DEF_OTH    ,299,68363
3113400,D,1,DEF    ,TD  ,D  ,DEF_OTH    ,1,161
3113400,D,1,HEALTHY,Live,D  ,HEALTHY_OTH,11665,3020456
3113400,D,1,HEALTHY,PD  ,D  ,HEALTHY_OTH,2,3381
3113400,D,1,HEALTHY,TD  ,D  ,HEALTHY_OTH,25,5237
3113400,D,1,HEALTHY,Live,D  ,,1,816
3113400,D,1,HEALTHY,PD  ,D  ,,1,0
3113400,D,3,HEALTHY,Live,D  ,,39,22625
3113400,I,1,HEALTHY,Live,I  ,,1,198
3113400,I,3,HEALTHY,Live,I  ,2.0_norm   ,2,0
3113400,I,3,HEALTHY,PD  ,I  ,2.0_norm   ,1,0
3113400,I,3,HEALTHY,TD  ,I  ,2.0_norm   ,1,0
3113400,I,3,HEALTHY,Live,I  ,3.0_adv    ,7,0
3113400,I,3,HEALTHY,DD  ,I  ,4.0_temp   ,1,0
3113400,I,3,HEALTHY,TD  ,I  ,4.0_temp   ,1,0
3113400,I,3,HEALTHY,Live,I  ,5.100_count,32,1280
3113400,I,3,HEALTHY,PD  ,I  ,5.100_count,2,97
3113400,I,3,HEALTHY,TD  ,I  ,5.100_count,4,226
3113400,I,3,HEALTHY,Live,I  ,7.500_count,41,9178
3113400,I,3,HEALTHY,TD  ,I  ,7.500_count,4,1040
3113400,I,3,HEALTHY,Live,I  ,HEALTHY_OTH,48,86714
3113400,I,3,HEALTHY,TD  ,I  ,HEALTHY_OTH,4,7295
3113401,C,1,DEF    ,Live,C  ,11_count   ,3,12
3113401,C,1,HEALTHY,Live,C  ,2.0_norm   ,197,0
3113401,C,1,HEALTHY,PD  ,C  ,2.0_norm   ,1,0
3113401,C,1,HEALTHY,TD  ,C  ,2.0_norm   ,11,0
3113401,C,1,DEF    ,Live,C  ,25_count   ,1,12
3113401,C,1,HEALTHY,Live,C  ,3.0_adv    ,18,0
3113401,C,1,HEALTHY,TD  ,C  ,4.0_temp   ,19,0
3113401,C,1,HEALTHY,Live,C  ,5.11_count ,121,607
3113401,C,1,HEALTHY,TD  ,C  ,5.11_count ,1,1
3113401,C,1,DEF    ,Live,C  ,50_count   ,7,314
3113401,C,1,HEALTHY,Live,C  ,7.25_count ,167,2980
3113401,C,1,DEF    ,Live,C  ,DEF_OTH    ,9,901
3113401,C,1,HEALTHY,Live,C  ,HEALTHY_OTH,881,168799
