CCC_CODE,GOVT_STAT,OSD_REMARK,CONN_STAT,TYPE,COUNT,OSD
3157101,NO,NO_OSD,DD    ,A   ,1,37.51
3157101,YES,NO_OSD,DD    ,DTW ,1,0
3157101,YES,NO_OSD,DD    ,MUNI,14,0
3157101,NO,NO_OSD,DD    ,A   ,42,0
3157101,NO,NO_OSD,DD    ,A   ,1,0.46
3157101,NO,NO_OSD,DD    ,A   ,1,7.44
3157101,NO,OSD   ,DD    ,A   ,1,100
3157101,NO,OSD   ,DD    ,A   ,1,2478.97
3157101,NO,OSD   ,DD    ,A   ,1,3332.21
3157101,NO,OSD   ,DD    ,A   ,1,3547.01
3157101,NO,OSD   ,DD    ,A   ,1,4461.55
3157101,NO,OSD   ,DD    ,A   ,1,4492.31
3157101,NO,OSD   ,DD    ,A   ,1,5532.01
3157101,NO,OSD   ,DD    ,A   ,1,7909.59
3157101,NO,OSD   ,DD    ,A   ,1,8050.02
3157101,NO,OSD   ,DD    ,A   ,1,8727.11
3157101,NO,OSD   ,DD    ,A   ,1,9353.2
3157101,NO,OSD   ,DD    ,A   ,1,9610.62
3157101,NO,OSD   ,DD    ,A   ,1,9895.07
3157101,NO,OSD   ,DD    ,A   ,1,10210.78
3157101,NO,OSD   ,DD    ,A   ,1,10898.19
3157101,NO,OSD   ,DD    ,A   ,1,11840.56
3157101,NO,OSD   ,DD    ,A   ,1,12590.59
3157101,NO,OSD   ,DD    ,A   ,1,12939.8
3157101,NO,OSD   ,DD    ,A   ,1,14999.92
3157101,NO,OSD   ,DD    ,A   ,1,15109.72
3157101,NO,OSD   ,DD    ,A   ,1,15187.63
3157101,NO,OSD   ,DD    ,A   ,1,15202.07
3157101,NO,OSD   ,DD    ,A   ,1,15568.6
3157101,NO,OSD   ,DD    ,A   ,1,17287.46
3157101,NO,OSD   ,DD    ,A   ,1,17366.48
3157101,NO,OSD   ,DD    ,A   ,1,17913.59
3157101,NO,OSD   ,DD    ,A   ,1,18134.9
3157101,NO,OSD   ,DD    ,A   ,1,18849.77
3157101,NO,OSD   ,DD    ,A   ,1,19297.14
3157101,NO,OSD   ,DD    ,A   ,1,19679.4
3157101,NO,OSD   ,DD    ,A   ,1,19768.96
3157101,NO,OSD   ,DD    ,A   ,1,19770.93
3157101,NO,OSD   ,DD    ,A   ,1,19803.72
3157101,NO,OSD   ,DD    ,A   ,1,19874.68
3157101,NO,OSD   ,DD    ,A   ,1,20256.3
3157101,NO,OSD   ,DD    ,A   ,1,20803
3157101,NO,OSD   ,DD    ,A   ,1,21180.47
3157101,NO,OSD   ,DD    ,A   ,1,21325.45
3157101,NO,OSD   ,DD    ,A   ,1,21623.13
3157101,NO,OSD   ,DD    ,A   ,1,22073.25
3157101,NO,OSD   ,DD    ,A   ,1,24267.94
3157101,NO,OSD   ,DD    ,A   ,1,24715.73
3157101,NO,OSD   ,DD    ,A   ,1,24732.06
3157101,NO,OSD   ,DD    ,A   ,1,26514.83
3157101,NO,OSD   ,DD    ,A   ,1,26651.06
3157101,NO,OSD   ,DD    ,A   ,1,26855.35
3157101,NO,OSD   ,DD    ,A   ,1,27157.73
3157101,NO,OSD   ,DD    ,A   ,1,27675.04
3157101,NO,OSD   ,DD    ,A   ,1,28062.74
3157101,NO,OSD   ,DD    ,A   ,1,28777.87
3157101,NO,OSD   ,DD    ,A   ,1,30300.48
3157101,NO,OSD   ,DD    ,A   ,1,32299.76
3157101,NO,OSD   ,DD    ,A   ,1,32490.9
3157101,NO,OSD   ,DD    ,A   ,1,32603.65
3157101,NO,OSD   ,DD    ,A   ,1,32934.09
3157101,NO,OSD   ,DD    ,A   ,1,33645.88
3157101,NO,OSD   ,DD    ,A   ,1,33974.01
3157101,NO,OSD   ,DD    ,A   ,1,35181.97
3157101,NO,OSD   ,DD    ,A   ,1,35225.32
3157101,NO,OSD   ,DD    ,A   ,1,35309.89
3157101,NO,OSD   ,DD    ,A   ,1,35342.23
3157101,NO,OSD   ,DD    ,A   ,1,35612.79
3157101,NO,OSD   ,DD    ,A   ,1,36784.88
3157101,NO,OSD   ,DD    ,A   ,1,36832.18
3157101,NO,OSD   ,DD    ,A   ,1,37092.58
3157101,NO,OSD   ,DD    ,A   ,1,37170.65
3157101,NO,OSD   ,DD    ,A   ,1,37360.58
3157101,NO,OSD   ,DD    ,A   ,1,37629.98
3157101,NO,OSD   ,DD    ,A   ,1,37996.92
3157101,NO,OSD   ,DD    ,A   ,1,38574
3157101,NO,OSD   ,DD    ,A   ,1,38675.53
3157101,NO,OSD   ,DD    ,A   ,1,39227.27
3157101,NO,OSD   ,DD    ,A   ,1,40668.06
3157101,NO,OSD   ,DD    ,A   ,1,41020.46
3157101,NO,OSD   ,DD    ,A   ,1,41724.7
3157101,NO,OSD   ,DD    ,A   ,1,41725.69
3157101,NO,OSD   ,DD    ,A   ,1,42602.22
3157101,NO,OSD   ,DD    ,A   ,1,43733.12
3157101,NO,OSD   ,DD    ,A   ,1,43832.38
3157101,NO,OSD   ,DD    ,A   ,1,43890.44
3157101,NO,OSD   ,DD    ,A   ,1,44068.26
3157101,NO,OSD   ,DD    ,A   ,1,44259.16
3157101,NO,OSD   ,DD    ,A   ,1,44508.82
3157101,NO,OSD   ,DD    ,A   ,1,44869.56
3157101,NO,OSD   ,DD    ,A   ,1,46454.46
3157101,NO,OSD   ,DD    ,A   ,1,51325.27
3157101,NO,OSD   ,DD    ,A   ,1,55144.7
3157101,NO,OSD   ,DD    ,A   ,1,58526.54
3157101,NO,OSD   ,DD    ,A   ,1,61817.41
3157101,NO,OSD   ,DD    ,A   ,1,66785.05
3157101,NO,OSD   ,DD    ,A   ,1,67147.39
3157101,NO,OSD   ,DD    ,A   ,1,70342.56
3157101,NO,OSD   ,DD    ,A   ,1,71003.49
3157101,NO,OSD   ,DD    ,A   ,1,78568.88
3157101,NO,OSD   ,DD    ,A   ,1,78827.75
3157101,NO,OSD   ,DD    ,A   ,1,99848.5
3157101,YES,NO_OSD,DD    ,DTW ,1,0
3157101,NO,NO_OSD,DD    ,C   ,6,0
3157101,NO,OSD   ,DD    ,C   ,1,1150
3157101,NO,OSD   ,DD    ,C   ,1,1167.59
3157101,NO,OSD   ,DD    ,C   ,1,1379.52
3157101,NO,OSD   ,DD    ,C   ,1,1440.78
3157101,NO,OSD   ,DD    ,C   ,1,1519.47
3157101,NO,OSD   ,DD    ,C   ,1,1905.92
3157101,NO,OSD   ,DD    ,C   ,1,1978.46
3157101,NO,OSD   ,DD    ,C   ,1,2197.08
3157101,NO,OSD   ,DD    ,C   ,1,2229.93
3157101,NO,OSD   ,DD    ,C   ,1,2539.17
3157101,NO,OSD   ,DD    ,C   ,1,2576.72
3157101,NO,OSD   ,DD    ,C   ,1,2683.31
3157101,NO,OSD   ,DD    ,C   ,1,2883.4
3157101,NO,OSD   ,DD    ,C   ,1,3668.77
3157101,NO,OSD   ,DD    ,C   ,1,4124.71
3157101,NO,OSD   ,DD    ,C   ,1,4171.9
